left_elbow_angle_period,right_elbow_angle_period,left_wrist_angle_period,right_wrist_angle_period,left_shoulder_angle_period,right_shoulder_angle_period,hip_angle_period,waist_angle_period,left_knee_angle_period,right_knee_angle_period,left_ankle_angle_period,right_ankle_angle_period,left_elbow_angle_power,right_elbow_angle_power,left_wrist_angle_power,right_wrist_angle_power,left_shoulder_angle_power,right_shoulder_angle_power,hip_angle_power,waist_angle_power,left_knee_angle_power,right_knee_angle_power,left_ankle_angle_power,right_ankle_angle_power
180.0,180.0,180.0,180.0,180.0,180.0,90.0,180.0,180.0,180.0,180.0,180.0,254868.95514051418,241416.1864218048,4374.2871614471005,3998.1032657151236,132308.77916193593,136334.29543309126,299.0256050251051,101.21765343028078,17649.16361307005,18061.41783531546,48804.33580498909,16127.644322996022
180.0,180.0,180.0,90.0,180.0,180.0,180.0,90.0,60.0,180.0,60.0,60.0,227644.39566665786,219650.972022065,2486.843143093883,986.2836321748446,124864.92786242129,116379.05223372664,344.9633071623033,86.79230846550173,24299.52872430393,39194.77732316902,30132.08957928018,58793.906033537496
180.0,180.0,180.0,180.0,180.0,180.0,180.0,90.0,90.0,180.0,45.0,60.0,209091.3123318828,188465.65667550196,3739.007759517782,1361.1939100935072,112592.86725176919,96666.68344351462,258.8884294160434,39.81225103396832,51442.8818475817,62957.32411553837,40615.23746938045,10329.59079605937
180.0,180.0,180.0,16.363636363636363,180.0,180.0,22.5,60.0,180.0,180.0,36.0,90.0,144562.291673388,122387.53096431111,2053.9283970744646,207.64763457373678,80156.61302709387,59943.37629744031,603.1022247301471,80.46525806751785,66967.02657485651,219728.68683652754,57744.08773188665,65223.69207608628
90.0,90.0,60.0,180.0,90.0,90.0,90.0,180.0,180.0,60.0,180.0,60.0,176631.87640433363,339173.45805850305,1820.6822133933551,8861.193361686339,85903.02188399389,332978.787926748,1301.7550753897542,151.21258897762715,8731.62349132817,4920.951514406342,6973.302045171021,6276.058356374773
90.0,90.0,90.0,180.0,90.0,90.0,45.0,90.0,90.0,45.0,16.363636363636363,90.0,152287.54152466686,214486.6728250198,4217.4289186320875,1623.365750442869,82989.87393036523,274673.06843198295,1036.0357613469296,415.2828092667664,5830.940605896865,5370.395652518922,4149.2105423163775,7021.834160176397
90.0,90.0,90.0,25.714285714285715,90.0,90.0,90.0,90.0,90.0,90.0,15.0,60.0,139848.37720119537,196127.10222624106,6469.46136641999,1656.8558013746144,55547.57007291474,273094.4675660722,1241.9131590655636,472.1447541286346,6675.690261009368,4411.817473829993,3763.2512116181574,2723.1789073014984
90.0,90.0,90.0,60.0,90.0,90.0,90.0,90.0,45.0,90.0,20.0,25.714285714285715,102294.86914237624,154960.2119384506,5694.122039616636,6457.138453866818,39766.51153399666,185454.08805632353,1202.6565475005298,272.3022503870078,5681.909231463306,15212.010170297744,8674.032553431109,1587.1107971259037
90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,116302.57069631557,250898.60044342504,2503.9665329736304,17309.527826879887,103501.3503649894,215156.09959254708,180.8125421560742,134.90724311318814,3814.565252816715,111.76908722476466,18477.562527517646,9794.989723093318
180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,90.0,45.0,180.0,30.0,136755.44607459428,263399.59669919475,29966.869855110483,8037.331880424585,58869.43471479276,242286.71628358265,1230.1937869990816,708.0777370351124,4818.590423305603,10789.319387370706,17162.04124984745,7818.551029593644
180.0,180.0,60.0,45.0,180.0,180.0,90.0,180.0,90.0,36.0,25.714285714285715,45.0,104142.2236890921,227129.90945959522,2985.0699125286264,2318.990117206286,33446.603921130096,202010.33544242644,531.3674305865119,348.05997113831523,6631.410314761409,9112.962046934668,6543.297328068001,4988.578103428345
180.0,180.0,90.0,22.5,180.0,60.0,180.0,180.0,90.0,180.0,180.0,90.0,10634.466791438183,88537.51265709828,1227.8720465447957,8314.789909688034,38197.307871314515,36710.05854758076,5119.4500544475595,203.86241398793285,33346.09169177756,2266.9520046309176,23084.98532992136,16117.755652850525
180.0,180.0,180.0,60.0,180.0,180.0,180.0,90.0,90.0,180.0,90.0,90.0,288775.2202668172,700436.6806055722,2038.6927678651628,19245.080535246423,191909.7108891865,627008.9649071426,1696.0914027823317,101.09807871817213,1084.6321013466568,927.9601054928125,2099.7067150984726,4911.598841267465
